	name	encoding
28		[-0.12557600438594818, 0.11439947038888931, 0.05513455718755722, -0.02095017582178116, 0.03578690066933632, -0.06472297757863998, 0.056633878499269485, -0.03322795033454895, 0.25399667024612427, -0.0865393802523613, 0.28976038098335266, -0.02252110280096531, -0.15730814635753632, -0.09095215797424316, -0.0175593551248312, 0.1146327406167984, -0.17752446234226227, -0.01590411551296711, -0.14027108252048492, -0.06788473576307297, 0.03831975534558296, 0.054880645126104355, 0.06426165997982025, 0.05119611322879791, -0.0939406007528305, -0.3923912048339844, -0.08039601147174835, -0.14389804005622864, 0.07924044877290726, -0.10160889476537704, -0.007933841086924076, 0.01615704596042633, -0.2136586606502533, -0.10952471196651459, -0.044339701533317566, 0.01811826229095459, 0.0019542877562344074, -0.06463633477687836, 0.17454451322555542, -0.0058950819075107574, -0.09727831184864044, -0.008025971241295338, -0.017324218526482582, 0.279268354177475, 0.1626652628183365, -0.014975805766880512, 0.009451130405068398, -0.07019674777984619, 0.08164800703525543, -0.21156644821166992, 0.09035545587539673, 0.07665204256772995, 0.07207494974136353, 0.08209817856550217, 0.09828196465969086, -0.10703979432582855, 0.011099066585302353, 0.10277923941612244, -0.24155737459659576, 0.05191462114453316, 0.035570092499256134, -0.007220888510346413, -0.02691744826734066, 0.004399814642965794, 0.20429274439811707, 0.1472291648387909, -0.10271521657705307, -0.11692222952842712, 0.09634356945753098, -0.13652589917182922, 0.08173049241304398, 0.04819061979651451, -0.11041640490293503, -0.20763833820819855, -0.25606754422187805, 0.11498814076185226, 0.387241005897522, 0.1665751039981842, -0.15098072588443756, 0.030135804787278175, -0.16100740432739258, -0.059347644448280334, 0.10955560207366943, 0.047777242958545685, -0.04307384788990021, -0.003575369715690613, -0.07086510956287384, 0.12756507098674774, 0.1137617826461792, 0.028585735708475113, -0.12320823967456818, 0.20943473279476166, -0.07451540231704712, -0.03668498620390892, -0.005634984001517296, -0.010299607180058956, -0.11786560714244843, 0.03143307566642761, -0.09111054241657257, 0.034472305327653885, 0.06398919969797134, -0.027060631662607193, -0.038671351969242096, 0.04739793390035629, -0.14384452998638153, 0.1256413459777832, 0.022564947605133057, -0.03056156262755394, 0.027075879275798798, -0.014472628012299538, -0.12977974116802216, -0.005051140207797289, 0.13145335018634796, -0.23982302844524384, 0.2772537171840668, 0.09492764621973038, 0.015906358137726784, 0.2151983678340912, 0.01005304604768753, 0.0455901175737381, 0.02426205575466156, -0.011663815937936306, -0.11902233213186264, -0.013125804252922535, 0.0703694075345993, 0.014226475730538368, 0.13612043857574463, -0.013628877699375153]
29		[-0.12602299451828003, 0.0949011743068695, 0.07409954071044922, -0.03592035919427872, 0.009230578318238258, -0.032006461173295975, 0.04655488580465317, -0.01667914167046547, 0.24042804539203644, -0.07396750152111053, 0.2763627767562866, -0.0337962880730629, -0.20860758423805237, -0.08681288361549377, -0.02508225478231907, 0.13482949137687683, -0.16807639598846436, 0.005441684275865555, -0.1463092565536499, -0.04290875792503357, 0.02975849248468876, 0.06283382326364517, 0.07185092568397522, 0.04005677253007889, -0.09294818341732025, -0.3895484209060669, -0.07876195758581161, -0.12186261266469955, 0.044046055525541306, -0.10053019225597382, -0.015989353880286217, 0.007079999428242445, -0.17818769812583923, -0.09508930891752243, -0.05648007243871689, 0.012422380968928337, -0.03923069313168526, -0.09669600427150726, 0.19649751484394073, -0.013436125591397285, -0.10972556471824646, -0.045110899955034256, -0.0026452206075191498, 0.25646066665649414, 0.1470108926296234, -0.03571106120944023, 0.021461106836795807, -0.06262651085853577, 0.09108620136976242, -0.26086676120758057, 0.10096167773008347, 0.08957408368587494, 0.06837467849254608, 0.09613969177007675, 0.10028078407049179, -0.09675971418619156, 0.012160105630755424, 0.1668485403060913, -0.258151113986969, 0.08032971620559692, 0.01758403331041336, -0.0024918094277381897, -0.025330863893032074, -7.054419256746769e-06, 0.187450110912323, 0.18566450476646423, -0.11372314393520355, -0.125854030251503, 0.09726062417030334, -0.12946093082427979, 0.06791795790195465, 0.05071979761123657, -0.12360281497240067, -0.24332064390182495, -0.2697027623653412, 0.10038761049509048, 0.3753657937049866, 0.16212144494056702, -0.15142160654067993, -0.00823342427611351, -0.13121075928211212, -0.0885532796382904, 0.11009184271097183, 0.06001003459095955, -0.0383564718067646, -0.022199217230081558, -0.060606155544519424, 0.13140317797660828, 0.1268852949142456, 0.0032356204465031624, -0.11762619018554688, 0.2334648072719574, -0.03495708853006363, -0.03814930468797684, -0.0135393887758255, 0.013884980231523514, -0.08430150896310806, 0.03786806762218475, -0.09480556845664978, 0.06688100099563599, 0.08187439292669296, -0.04850577935576439, -0.02641778253018856, 0.0326383113861084, -0.12614388763904572, 0.1407354474067688, 0.04226387292146683, -0.03420382738113403, 0.03166172280907631, -0.052284833043813705, -0.14703291654586792, 0.003526827320456505, 0.16664846241474152, -0.22406232357025146, 0.27110740542411804, 0.09763572365045547, 0.02727467007935047, 0.20315420627593994, 0.005894247442483902, 0.04828507453203201, 0.04352295398712158, -0.02700376883149147, -0.10774558782577515, -0.003252898808568716, 0.07957857102155685, 0.00858293566852808, 0.12173910439014435, 0.0038001281209290028]
30		[-0.11363200098276138, 0.09979753941297531, 0.014168902300298214, -0.02760113589465618, 0.021435098722577095, -0.04348277673125267, 0.05419622361660004, -0.04601426422595978, 0.2506844401359558, -0.08169621229171753, 0.27302002906799316, -0.003938459791243076, -0.1753825694322586, -0.11891505122184753, -0.00923056248575449, 0.12216264009475708, -0.20161572098731995, -0.016165435314178467, -0.14929676055908203, -0.05195434391498566, 0.01805354282259941, 0.05580645427107811, 0.07099159061908722, 0.05968715623021126, -0.09797845035791397, -0.39693668484687805, -0.07478360831737518, -0.14066928625106812, 0.04874536395072937, -0.10079336166381836, 0.0034971199929714203, 0.023813234642148018, -0.20230039954185486, -0.09002168476581573, -0.05214099586009979, 0.021130241453647614, -0.02933252789080143, -0.056612562388181686, 0.2201468050479889, 0.00894779060035944, -0.11693267524242401, -0.03658342361450195, -0.00034963153302669525, 0.2869873642921448, 0.16538690030574799, -0.04886509105563164, 0.02836277335882187, -0.03597043454647064, 0.10756122320890427, -0.24851194024085999, 0.0845528095960617, 0.09157290309667587, 0.09170208871364594, 0.07740266621112823, 0.08774561434984207, -0.09995286166667938, -0.008631440810859203, 0.133469820022583, -0.21476927399635315, 0.0790913999080658, 0.029107972979545593, -0.03185195475816727, -0.047637492418289185, 0.035194315016269684, 0.21412408351898193, 0.15025179088115692, -0.12265647947788239, -0.11754979193210602, 0.0846167579293251, -0.13768517971038818, 0.059256166219711304, 0.05715697258710861, -0.11710307002067566, -0.23428091406822205, -0.2841535210609436, 0.10428590327501297, 0.382170706987381, 0.12437084317207336, -0.15981248021125793, 0.0041387323290109634, -0.15119224786758423, -0.06774313747882843, 0.12543001770973206, 0.07040994614362717, -0.03377353772521019, -0.009534263983368874, -0.08681190758943558, 0.13456816971302032, 0.1512521654367447, 0.0023681577295064926, -0.12050765752792358, 0.22597885131835938, -0.047072090208530426, -0.023887529969215393, -0.015124993398785591, 0.013886881060898304, -0.07213932275772095, 0.026430044323205948, -0.08812442421913147, 0.07578808069229126, 0.09976603090763092, -0.04261784628033638, -0.04321485012769699, 0.028596723452210426, -0.13589121401309967, 0.12836676836013794, 0.04393059387803078, -0.02673078142106533, 0.03894314169883728, -0.046714335680007935, -0.16397666931152344, -0.014593327417969704, 0.1563243269920349, -0.2391654998064041, 0.2826678454875946, 0.10415847599506378, -0.00010136468335986137, 0.20396165549755096, 0.009717795066535473, 0.036628611385822296, 0.02684873156249523, -0.023543071001768112, -0.11372429132461548, -0.01298464648425579, 0.0762845128774643, 0.02125382423400879, 0.11368561536073685, -0.025504454970359802]
31		[-0.11756360530853271, 0.11448338627815247, 0.044986650347709656, -0.041716963052749634, 0.029653241857886314, -0.03962849825620651, 0.057858437299728394, -0.04083675146102905, 0.22739258408546448, -0.08980405330657959, 0.279140830039978, -0.016656041145324707, -0.1731201708316803, -0.12011519074440002, -0.0038740751333534718, 0.12617221474647522, -0.19913463294506073, 0.004476433619856834, -0.15025994181632996, -0.07624244689941406, 0.02810964733362198, 0.03905860334634781, 0.08064678311347961, 0.054773975163698196, -0.10923738777637482, -0.3738764524459839, -0.0736299455165863, -0.15370528399944305, 0.09027078002691269, -0.09257946163415909, -0.02430802769958973, 0.002226360375061631, -0.19372646510601044, -0.10257217288017273, -0.04156043007969856, 0.016384165734052658, -0.011581125669181347, -0.08437157422304153, 0.18282143771648407, -0.04245566576719284, -0.09473537653684616, -0.015166563913226128, 0.008103009313344955, 0.25362932682037354, 0.1683189421892166, -0.03734125941991806, 0.017193924635648727, -0.047733373939991, 0.11004038900136948, -0.24611449241638184, 0.08580788969993591, 0.06650548428297043, 0.057729192078113556, 0.09323926270008087, 0.08665560185909271, -0.11397761851549149, 0.023256175220012665, 0.12312661111354828, -0.22503133118152618, 0.07559625804424286, 0.027210161089897156, -0.036666106432676315, -0.04113270714879036, 0.03512084111571312, 0.18807153403759003, 0.141820028424263, -0.13274897634983063, -0.10536444187164307, 0.09032341092824936, -0.12319229543209076, 0.10429956763982773, 0.040619928389787674, -0.11923456937074661, -0.21844607591629028, -0.25951603055000305, 0.12751324474811554, 0.398508757352829, 0.17933914065361023, -0.1480569690465927, 0.010919428430497646, -0.1625300645828247, -0.05197230353951454, 0.11112338304519653, 0.062248170375823975, -0.04730614274740219, -0.028733666986227036, -0.07657148689031601, 0.15224891901016235, 0.1139807403087616, 0.0034073907881975174, -0.10857782512903214, 0.2406247854232788, -0.05348698049783707, -0.013597918674349785, -0.01957910880446434, 0.028313493356108665, -0.11784903705120087, 0.022688109427690506, -0.08093969523906708, 0.07025173306465149, 0.11664780974388123, -0.06324484199285507, -0.026432691141963005, 0.054478079080581665, -0.14336755871772766, 0.1339723914861679, 0.028056949377059937, -0.02075665071606636, 0.05273415148258209, -0.02867407165467739, -0.13506460189819336, -0.002119497861713171, 0.13860198855400085, -0.2194482833147049, 0.27923497557640076, 0.13065676391124725, 0.030010614544153214, 0.2098122388124466, 0.03305687755346298, 0.03277209401130676, 0.05050832778215408, -0.026637140661478043, -0.11051516234874725, -0.02090742625296116, 0.07261021435260773, 0.004474252462387085, 0.11620969325304031, -0.014881301671266556]
32		[-0.1098276674747467, 0.09816834330558777, 0.05202480033040047, -0.03452252596616745, 0.011248894035816193, -0.031447529792785645, 0.05293422192335129, -0.044369716197252274, 0.2518932521343231, -0.0705127939581871, 0.28869321942329407, -0.010060183703899384, -0.16083678603172302, -0.11314378678798676, 0.006342019885778427, 0.13960392773151398, -0.17298585176467896, -0.0035132523626089096, -0.1547323763370514, -0.07915768772363663, 0.013245854526758194, 0.060171328485012054, 0.07395726442337036, 0.059071075171232224, -0.08629567921161652, -0.40605711936950684, -0.09120668470859528, -0.1463371068239212, 0.06423616409301758, -0.11563685536384583, -0.0005965158343315125, 0.006233256310224533, -0.19295459985733032, -0.10623691976070404, -0.03328021988272667, -0.007045375183224678, -0.022618578746914864, -0.08739031106233597, 0.17853163182735443, -0.002567070536315441, -0.09431270509958267, -0.033814653754234314, 0.0184861421585083, 0.277730792760849, 0.15251079201698303, -0.027477815747261047, 0.02451038360595703, -0.045298196375370026, 0.10240460932254791, -0.22572900354862213, 0.09183093160390854, 0.06045453995466232, 0.07001370936632156, 0.08614897727966309, 0.10355839878320694, -0.08791828900575638, 0.0058339666575193405, 0.1256602257490158, -0.2517887353897095, 0.08226883411407471, 0.040335968136787415, -0.012220796197652817, -0.06243235990405083, 0.0073598469607532024, 0.2084149718284607, 0.18115857243537903, -0.12354880571365356, -0.13778287172317505, 0.05818804353475571, -0.1329115927219391, 0.06958989053964615, 0.0421040840446949, -0.13915413618087769, -0.21216851472854614, -0.292876660823822, 0.10564994812011719, 0.38921594619750977, 0.1380750983953476, -0.160237118601799, -0.02922457829117775, -0.14365926384925842, -0.04537561163306236, 0.11121860146522522, 0.05202412232756615, -0.0387977734208107, -0.026586787775158882, -0.06240284442901611, 0.13102784752845764, 0.12390315532684326, 0.00918654352426529, -0.12397564202547073, 0.22635705769062042, -0.06516113132238388, -0.04019331932067871, -0.0352991558611393, 0.031339798122644424, -0.09994172304868698, 0.022547464817762375, -0.08539225906133652, 0.05624760687351227, 0.07686460018157959, -0.019344110041856766, -0.01931583508849144, 0.040440984070301056, -0.14940886199474335, 0.13238778710365295, 0.03799661993980408, -0.028594698756933212, 0.03638569638133049, -0.02547415904700756, -0.16930608451366425, -0.018766000866889954, 0.14645957946777344, -0.23135824501514435, 0.2697489261627197, 0.1173776239156723, 0.025562617927789688, 0.1873822808265686, -0.0075950417667627335, 0.03808900713920593, 0.016022996976971626, -0.016159486025571823, -0.09214702993631363, -0.004151855129748583, 0.06582144647836685, 0.011179405264556408, 0.10195579379796982, -0.026155535131692886]
33		[-0.11498097330331802, 0.08896076679229736, 0.0577700100839138, -0.052944790571928024, 0.03411197289824486, -0.042168982326984406, 0.059272561222314835, -0.017401443794369698, 0.24083450436592102, -0.0675039067864418, 0.2833380699157715, -0.012487879022955894, -0.16292676329612732, -0.11202435195446014, -0.0027378839440643787, 0.11708945035934448, -0.18862737715244293, 0.00406444538384676, -0.15282389521598816, -0.05615886300802231, 0.036802422255277634, 0.04783809930086136, 0.08209356665611267, 0.050923578441143036, -0.12361058592796326, -0.4151138365268707, -0.09298405796289444, -0.11752018332481384, 0.0903441309928894, -0.08939778804779053, 0.0037890225648880005, 0.011086690239608288, -0.22721172869205475, -0.09225469082593918, -0.04021632671356201, 0.020069021731615067, -0.021788671612739563, -0.07980723679065704, 0.1689179688692093, -0.008605065755546093, -0.11716972291469574, -0.02080826461315155, 0.0072249723598361015, 0.25755664706230164, 0.1670338213443756, -0.01267116516828537, 0.0378546267747879, -0.04380859434604645, 0.08084871619939804, -0.24294202029705048, 0.11074775457382202, 0.0720653235912323, 0.0633508563041687, 0.07938525080680847, 0.11209358274936676, -0.09416099637746811, -0.002946837805211544, 0.166996568441391, -0.2365390956401825, 0.07492338120937347, 0.0147172249853611, 0.0023263264447450638, -0.039134688675403595, 0.0017595484387129545, 0.1763170063495636, 0.16414503753185272, -0.13105079531669617, -0.1329493522644043, 0.08628813922405243, -0.14538995921611786, 0.0963410958647728, 0.0672345831990242, -0.10851942002773285, -0.22913236916065216, -0.2802017033100128, 0.1201256811618805, 0.3893963694572449, 0.1681901216506958, -0.1519850790500641, -0.0027597714215517044, -0.1324353963136673, -0.053834665566682816, 0.12509718537330627, 0.06714373081922531, -0.038510214537382126, -0.01259284745901823, -0.06243067979812622, 0.13562946021556854, 0.12334825098514557, 0.026103146374225616, -0.11477266997098923, 0.22670389711856842, -0.05900362506508827, -0.03495416045188904, -0.03840089961886406, 0.01017796155065298, -0.10908566415309906, 0.036391034722328186, -0.08316421508789062, 0.06363378465175629, 0.0727865993976593, -0.010181323625147343, -0.041879117488861084, 0.05016283690929413, -0.12894503772258759, 0.14339089393615723, 0.03079250082373619, -0.04105034098029137, 0.03930740803480148, -0.032136235386133194, -0.13362248241901398, -0.016301671043038368, 0.12109389901161194, -0.2555597722530365, 0.26161912083625793, 0.1278257966041565, 0.006809846963733435, 0.2025555819272995, 0.010140699334442616, 0.03869738429784775, 0.0543990284204483, -0.014066839590668678, -0.11485990136861801, -0.004053552635014057, 0.07152178883552551, -0.020557139068841934, 0.11463736742734909, -0.04150077700614929]
34		[-0.13185638189315796, 0.14997927844524384, 0.027958650141954422, -0.014266859740018845, 0.007392590865492821, -0.03517375886440277, 0.00639459490776062, -0.021817531436681747, 0.21248741447925568, -0.05198563262820244, 0.25895312428474426, 0.002109317108988762, -0.198142871260643, -0.08259732276201248, -0.003731712233275175, 0.0650685727596283, -0.18645882606506348, -0.013287890702486038, -0.09848704934120178, -0.064376600086689, 0.04676644876599312, 0.05417201668024063, 0.09562888741493225, 0.06957951933145523, -0.1298813819885254, -0.3800889551639557, -0.08464561402797699, -0.15154844522476196, 0.06389064341783524, -0.11715544760227203, -0.014564281329512596, -0.03856058046221733, -0.1856377273797989, -0.0919908955693245, -0.06012975424528122, -0.0008025933057069778, -0.008237196132540703, -0.06662026047706604, 0.20570236444473267, 0.009951717220246792, -0.09166903793811798, -0.019786089658737183, -0.026025911793112755, 0.31902047991752625, 0.1318790316581726, -0.0055927992798388, 0.020889967679977417, -0.05112548917531967, 0.09817152470350266, -0.2346922904253006, 0.1178724393248558, 0.12294898182153702, 0.0939701572060585, 0.046008314937353134, 0.07727663964033127, -0.0929763913154602, 0.00645768828690052, 0.14944764971733093, -0.24506577849388123, 0.09037484228610992, 0.052936211228370667, 0.012658245861530304, -0.018694164231419563, -0.02544144168496132, 0.2038796842098236, 0.15616104006767273, -0.1233220025897026, -0.11786791682243347, 0.02847984805703163, -0.1557447612285614, 0.05104861408472061, 0.06735851615667343, -0.10578208416700363, -0.24486950039863586, -0.2775755822658539, 0.12988869845867157, 0.3450278341770172, 0.1967354267835617, -0.13667765259742737, -0.004155818372964859, -0.15819187462329865, -0.05854548141360283, 0.10603417456150055, 0.05096738040447235, -0.08543810993432999, -0.0062601324170827866, -0.09094515442848206, 0.1156625971198082, 0.12214109301567078, 0.01717866212129593, -0.10916376858949661, 0.23132014274597168, -0.027134833857417107, -0.01032515149563551, -0.014196223579347134, 0.012341354042291641, -0.13635119795799255, 0.02308019995689392, -0.06693769991397858, 0.08418631553649902, 0.052542947232723236, -0.057115573436021805, -0.02438455820083618, 0.05041702091693878, -0.16297702491283417, 0.10505380481481552, 0.019190428778529167, -0.05715012550354004, 0.03312903642654419, -0.020296864211559296, -0.16740435361862183, -0.06203187257051468, 0.1460021287202835, -0.2670342028141022, 0.21866731345653534, 0.1317794919013977, 0.040858760476112366, 0.20903842151165009, 0.03286954388022423, 0.04361537843942642, 0.011304236948490143, 0.003534221090376377, -0.11104069650173187, -0.0026981723494827747, 0.08273368328809738, -0.004533508792519569, 0.10082907229661942, -0.028249429538846016]
35		[-0.10112101584672928, 0.1490250825881958, 0.05852609500288963, -0.01110022608190775, -0.012280847877264023, -0.015725068747997284, 0.0030807415023446083, -0.01611732691526413, 0.22214028239250183, -0.02359737828373909, 0.29053694009780884, -0.023081433027982712, -0.21199040114879608, -0.09196683019399643, -0.02305063046514988, 0.07737059146165848, -0.21602322161197662, 0.004965603351593018, -0.08244272321462631, -0.07775182276964188, 0.03714479133486748, 0.06031550094485283, 0.10150079429149628, 0.0671854019165039, -0.14651437103748322, -0.38803428411483765, -0.06856594979763031, -0.12120775133371353, 0.07915374636650085, -0.07002132385969162, -0.01387979555875063, 0.03850217163562775, -0.18940633535385132, -0.08627468347549438, -0.05823675915598869, -0.027208557352423668, -0.020920172333717346, -0.05627686157822609, 0.22312983870506287, 0.024514827877283096, -0.09627703577280045, 0.011232693679630756, -0.049425989389419556, 0.3267960548400879, 0.15802696347236633, 0.005435239523649216, 0.009257039055228233, -0.04673444479703903, 0.11148504167795181, -0.24829237163066864, 0.09111258387565613, 0.18190157413482666, 0.07583743333816528, 0.018709592521190643, 0.0924588292837143, -0.11263089627027512, -0.026385657489299774, 0.1752372682094574, -0.23659367859363556, 0.0960979089140892, -0.0032535172067582607, 0.003967165946960449, 0.03761426731944084, -0.07734781503677368, 0.15525248646736145, 0.1474752575159073, -0.10164424031972885, -0.12512199580669403, 0.06230032071471214, -0.13718251883983612, 0.04142962396144867, 0.09651919454336166, -0.12728840112686157, -0.25516068935394287, -0.33158552646636963, 0.1092691496014595, 0.34586861729621887, 0.1927582174539566, -0.14991866052150726, -0.031036917120218277, -0.10815227776765823, -0.0720948800444603, 0.1205780878663063, 0.058201733976602554, -0.10243715345859528, -0.05062480270862579, -0.1001104786992073, 0.07719847559928894, 0.1259154975414276, 0.019505221396684647, -0.1350599229335785, 0.27185720205307007, -0.02475561387836933, -0.004989218898117542, -0.024996988475322723, 0.007852928712964058, -0.13001461327075958, 0.03854960575699806, -0.10111522674560547, 0.08874113112688065, 0.030860960483551025, -0.06955179572105408, -0.023806579411029816, 0.07469727098941803, -0.16236713528633118, 0.08364471793174744, 0.016933755949139595, -0.041779931634664536, -0.0033649280667304993, -0.020804952830076218, -0.16961251199245453, -0.02782692201435566, 0.17332933843135834, -0.2755674123764038, 0.21988306939601898, 0.143011212348938, 0.052327439188957214, 0.203309565782547, 0.04083146154880524, 0.020611003041267395, -0.012473543174564838, -0.016719821840524673, -0.08981379866600037, -0.017494747415184975, 0.07474017888307571, -0.029751194640994072, 0.08911970257759094, -0.008093396201729774]
36		[-0.12541231513023376, 0.14643116295337677, 0.04829566925764084, 0.00521976500749588, -0.009567350149154663, -0.024042438715696335, -0.00907829962670803, -0.023090656846761703, 0.20372961461544037, -0.007087080739438534, 0.301310271024704, 0.009059388190507889, -0.19935357570648193, -0.07440013438463211, -0.04696022346615791, 0.08484035730361938, -0.19590260088443756, -0.01354154385626316, -0.0798019990324974, -0.08622942864894867, 0.008257636800408363, 0.05658632144331932, 0.09797612577676773, 0.07190166413784027, -0.13458240032196045, -0.36784645915031433, -0.06542633473873138, -0.15899063646793365, 0.07909777015447617, -0.09989140182733536, -0.02696635015308857, 0.021989699453115463, -0.20242151618003845, -0.09115605056285858, -0.045345112681388855, -0.03135484457015991, 0.011661463417112827, -0.04873882234096527, 0.21899503469467163, 0.027755428105592728, -0.08748283982276917, 0.009494409896433353, -0.020335542038083076, 0.3356739282608032, 0.15892113745212555, -0.00312859658151865, 0.024188164621591568, -0.054717592895030975, 0.09924507886171341, -0.20966294407844543, 0.08213937282562256, 0.14450371265411377, 0.06667554378509521, 0.024394681677222252, 0.05970892310142517, -0.13884161412715912, -0.015651557594537735, 0.14616841077804565, -0.23911620676517487, 0.11597667634487152, 0.012036615051329136, 0.003788463771343231, 0.018296141177415848, -0.04567511007189751, 0.1782727986574173, 0.13141508400440216, -0.0955793559551239, -0.15032899379730225, 0.06697166711091995, -0.1447153389453888, 0.056887831538915634, 0.1052500531077385, -0.12698699533939362, -0.24644745886325836, -0.309626042842865, 0.12338800728321075, 0.3578304350376129, 0.18217670917510986, -0.13195636868476868, 0.00389705877751112, -0.12301833182573318, -0.09670813381671906, 0.08475988358259201, 0.05315646901726723, -0.0947033241391182, -0.025466859340667725, -0.11040426790714264, 0.08123330026865005, 0.14834092557430267, 0.0467575304210186, -0.1145518496632576, 0.2422739565372467, -0.0547620989382267, -0.024489320814609528, -0.008728994987905025, 0.04716995730996132, -0.16473288834095, 0.03384360671043396, -0.09402633458375931, 0.05739607289433479, 0.009036123752593994, -0.07948146760463715, -0.015764648094773293, 0.07042853534221649, -0.16216923296451569, 0.07011254876852036, -0.009340362623333931, -0.04483271762728691, -0.02762565016746521, -0.008100902661681175, -0.14318597316741943, -0.030206702649593353, 0.17023256421089172, -0.25597548484802246, 0.23853857815265656, 0.13646918535232544, 0.07863696664571762, 0.19631776213645935, 0.044713281095027924, 0.021301107481122017, -0.01741373911499977, 0.0022487612441182137, -0.09592024981975555, -0.017489729449152946, 0.05283923074603081, -0.045314814895391464, 0.11290493607521057, -0.001465312670916319]
37		[-0.13504332304000854, 0.13520444929599762, 0.07289964705705643, -0.013770852237939835, -0.0004827346419915557, -0.03690681606531143, 0.00034294091165065765, -0.03880658745765686, 0.2147103101015091, -0.02741539664566517, 0.27210718393325806, 0.01781156100332737, -0.16755257546901703, -0.11405518651008606, -0.01170102134346962, 0.08541332185268402, -0.1721535176038742, -0.015760989859700203, -0.09255930781364441, -0.04870901629328728, 0.028719361871480942, 0.04244164377450943, 0.12006725370883942, 0.0586947500705719, -0.1402462124824524, -0.40174663066864014, -0.08252838253974915, -0.13857519626617432, 0.06212223321199417, -0.05753655731678009, -0.020807543769478798, 0.022463183850049973, -0.20837758481502533, -0.09156320989131927, -0.061751991510391235, 0.021888991817831993, -0.015927227213978767, -0.05837346240878105, 0.20032115280628204, 8.34539532661438e-05, -0.11446655541658401, -0.017419323325157166, -0.045722149312496185, 0.2912370264530182, 0.17684608697891235, -0.0215891245752573, 0.04730059206485748, -0.042003948241472244, 0.12156315892934799, -0.2291194200515747, 0.10474173724651337, 0.12913630902767181, 0.06666696816682816, 0.04307905212044716, 0.08485662937164307, -0.09323785454034805, 0.017437849193811417, 0.14836731553077698, -0.24557183682918549, 0.07778249680995941, 0.00724294688552618, 0.002822812646627426, 0.01385301724076271, -0.0217597633600235, 0.17425213754177094, 0.16674518585205078, -0.09202203899621964, -0.13171182572841644, 0.08584362268447876, -0.13118976354599, 0.06335385143756866, 0.0870816633105278, -0.14348840713500977, -0.24436718225479126, -0.3298400342464447, 0.10575342178344727, 0.3617638051509857, 0.18977034091949463, -0.14282961189746857, -0.01185899693518877, -0.14389635622501373, -0.055091336369514465, 0.09731069952249527, 0.040311332792043686, -0.08823753893375397, 0.0006955759599804878, -0.11933315545320511, 0.10431046783924103, 0.1473435014486313, 0.02823270484805107, -0.13715673983097076, 0.25412634015083313, -0.025130363181233406, 0.0014921491965651512, -0.004355228040367365, 0.040617141872644424, -0.11475852131843567, 0.03188514709472656, -0.11536218971014023, 0.06919100135564804, 0.05974128469824791, -0.04117388278245926, -0.016829054802656174, 0.0730118528008461, -0.14999420940876007, 0.11029268056154251, 0.012035218998789787, -0.010852054692804813, -0.007796103600412607, -0.03425726667046547, -0.16759991645812988, -0.025058060884475708, 0.15194737911224365, -0.2233237624168396, 0.23546931147575378, 0.11992035806179047, 0.04553665593266487, 0.19735565781593323, 0.04918009042739868, 0.01307305321097374, -0.013375518843531609, -0.0346660241484642, -0.09402761608362198, -0.004276870284229517, 0.07948215305805206, -0.008716853335499763, 0.11793544888496399, 0.018892716616392136]
